Code;Latitude;Longitude
UUD;51.8078;107.438
UUS;46.8887;142.718
UVF;13.7332;-60.9526
VAA;63.0507;21.7622
VAR;43.2321;27.8251
VAV;-18.5853;-173.962
VBY;57.6628;18.3462
VCA;10.0851;105.712
VCE;45.5053;12.3519
VCP;-23.0074;-47.1345
VER;19.1459;-96.1873
VFA;-18.0959;25.839
VGO;42.2318;-8.6268
VIE;48.1103;16.5697
VIL;23.7183;-15.932
VIT;42.8828;-2.7245
VKO;55.5915;37.2615
VLC;39.4893;-0.4816
VLI;-17.6993;168.32
VLL;41.7061;-4.8519
VLN;10.1497;-67.9284
VNO;54.6341;25.2858
VNS;25.4524;82.8593
VNX;-22.0184;35.3133
VOG;48.7825;44.3455
VOL;39.2196;22.7943
VOZ;51.8142;39.2296
VRA;23.0344;-81.4353
VRN;45.3957;10.8885
VST;59.5894;16.6336
VTE;17.9883;102.563
VTZ;17.7212;83.2245
VVI;-17.6448;-63.1354
VVO;43.399;132.148
VXE;16.8332;-25.0553
VXO;56.9291;14.728
WAW;52.1657;20.9671
WDH;-22.4799;17.4709
WEH;37.1871;122.229
WLG;-41.3272;174.805
WLS;-13.2383;-176.199
WMI;52.4511;20.6518
WNZ;27.9122;120.852
WRO;51.1027;16.8858
WUH;30.7838;114.208
WUX;31.4944;120.429
WVB;-22.9799;14.6453
XCH;-10.4506;105.69
XCR;48.7761;4.1845
XIY;34.4471;108.752
XMN;24.544;118.128
XNN;36.5275;102.043
XRY;36.7446;-6.0601
XUZ;34.0591;117.5553
YEG;53.3097;-113.58
YEI;40.2552;29.5626
YHM;43.1736;-79.935
YHZ;44.8808;-63.5086
YKS;62.0933;129.771
YNJ;42.8828;129.451
YNT;37.4017;121.372
YNY;38.0613;128.669
YNZ;33.4258;120.2031
YOW;45.3225;-75.6692
YQB;46.7911;-71.3933
YQM;46.1122;-64.6786
YQR;50.4319;-104.666
YQX;48.9369;-54.5681
YUL;45.4706;-73.7408
YVR;49.1939;-123.184
YWG;49.91;-97.2399
YXE;52.1708;-106.7
YXU;43.0356;-81.1539
YXY;60.7096;-135.067
YYC;51.1139;-114.02
YYJ;48.6469;-123.426
YYT;47.6186;-52.7519
YYZ;43.6772;-79.6306
ZAD;44.1083;15.3467
ZAG;45.7429;16.0688
ZAM;6.9224;122.06
ZAZ;41.6662;-1.0416
ZCL;22.8971;-102.687
ZIH;17.6016;-101.461
ZLO;19.1448;-104.559
ZNZ;-6.222;39.2249
ZQN;-45.0211;168.739
ZRH;47.4647;8.5492
ZTH;37.7509;20.8843
ZYL;24.9632;91.8668
